,booth_name,brand_name,address,address_disp,new_address,new_address_disp,homepage,pay_keywords,x,y,tel
10,인생네컷 NC신구로점,인생네컷,서울 구로구 구로동 573 5층,서울|구로구|구로동|573|5층,서울 구로구 구로중앙로 152,서울|구로구||구로중앙로|152|5층,https://www.instagram.com/life4cut_nc_singuro,제로페이,474086,1111598,010-5469-3088
11,인생네컷 서울화곡점,인생네컷,서울 강서구 화곡동 1065-1,서울|강서구|화곡동|1065-1|,서울 강서구 화곡로25길 2,서울|강서구||화곡로25길|2|,https://lifefourcuts.com,제로페이,464317,1122774,010-6267-9729
12,포토시그니처 문래점,포토시그니처,서울 영등포구 문래동2가 44-15 1층,서울|영등포구|문래동2가|44-15|1층,서울 영등포구 경인로79길 16,서울|영등포구||경인로79길|16|1층,http://photosignature.co.kr/,제로페이,476527,1114995,
13,포토이즘박스 영등포구청점,포토이즘박스,서울 영등포구 당산동3가 218,서울|영등포구|당산동3가|218|,서울 영등포구 당산로32길 3,서울|영등포구||당산로32길|3|,http://photoism.co.kr,,477296,1118624,
14,인생네컷 서울목동로드점,인생네컷,서울 양천구 목동 907-5,서울|양천구|목동|907-5|,서울 양천구 목동서로 65,서울|양천구||목동서로|65|,https://lifefourcuts.com,,473205,1121301,010-8931-5974
15,인생네컷 서울영등포역점,인생네컷,"서울 영등포구 영등포동3가 22-4 1,2층","서울|영등포구|영등포동3가|22-4|1,2층",서울 영등포구 영중로4길 17-1,"서울|영등포구||영중로4길|17-1|1,2층",https://lifefourcuts.com/,제로페이,479749,1116145,010-2680-4490
16,하루필름 영등포점,하루필름,서울 영등포구 영등포동3가 11 1층,서울|영등포구|영등포동3가|11|1층,서울 영등포구 경인로 869-1,서울|영등포구||경인로|869-1|1층,https://www.instagram.com/haru_film_ydp/,,479947,1116127,
17,포토이즘박스 영등포점,포토이즘박스,서울 영등포구 영등포동3가 13-11,서울|영등포구|영등포동3가|13-11|,서울 영등포구 영등포로50길 11,서울|영등포구||영등포로50길|11|,http://photoism.co.kr,,479975,1116243,
18,인생네컷 남구로점,인생네컷,서울 구로구 구로동 1280 한신휴플러스아파트 상가 2동 2층 225호,서울|구로구|구로동|1280|한신휴플러스아파트 상가 2동 2층 225호,서울 구로구 디지털로31길 120,서울|구로구||디지털로31길|120|한신휴플러스아파트 상가 2동 2층 225호,https://instagram.com/life4cut_ngr?igshid=YmMyMTA2M2Y=,,475733,1108081,010-2079-5571
19,인생네컷 광명철산점,인생네컷,경기 광명시 철산동 405 청담빌딩 1층,경기|광명시|철산동|405|청담빌딩 1층,경기 광명시 오리로856번길 15,경기|광명시||오리로856번길|15|청담빌딩 1층,http://www.instagram.com/life4cut_gwangmyeongcheolsan,제로페이,470894,1104469,
20,포토이즘박스 철산점,포토이즘박스,경기 광명시 철산동 399,경기|광명시|철산동|399|,경기 광명시 오리로854번길 21,경기|광명시||오리로854번길|21|,http://photoism.co.kr,,471080,1104435,
21,포토시그니처 철산점,포토시그니처,경기 광명시 철산동 406 1층 103호,경기|광명시|철산동|406|1층 103호,경기 광명시 오리로856번길 13,경기|광명시||오리로856번길|13|1층 103호,http://photosignature.co.kr/,제로페이,470863,1104448,
22,인생네컷 구로디지털단지점,인생네컷,서울 구로구 구로동 1124-23,서울|구로구|구로동|1124-23|,서울 구로구 디지털로32길 87,서울|구로구||디지털로32길|87|,https://lifefourcuts.com,,477914,1106628,010-2392-8770
23,인생네컷 서울가산현대점,인생네컷,서울 금천구 가산동 60-8 지하 1층,서울|금천구|가산동|60-8|지하 1층,서울 금천구 디지털로10길 9,서울|금천구||디지털로10길|9|지하 1층,https://lifefourcuts.com,,475499,1105084,010-8495-0821
24,하루필름 광명철산점,하루필름,경기 광명시 철산동 411 금봉빌딩 1층 103호,경기|광명시|철산동|411|금봉빌딩 1층 103호,경기 광명시 오리로856번길 8,경기|광명시||오리로856번길|8|금봉빌딩 1층 103호,,,470751,1104312,
25,인생네컷 가산현대아울렛점,인생네컷,서울 금천구 가산동 60-8 현대시티아울렛 가산점 지하 1층,서울|금천구|가산동|60-8|현대시티아울렛 가산점 지하 1층,서울 금천구 디지털로10길 9,서울|금천구||디지털로10길|9|현대시티아울렛 가산점 지하 1층,https://lifefourcuts.com,,475467,1105065,010-8495-0821
26,하루필름 마곡점,하루필름,서울 강서구 마곡동 794-1 우성에스비타워 1층 120호,서울|강서구|마곡동|794-1|우성에스비타워 1층 120호,서울 강서구 강서로 385,서울|강서구||강서로|385|우성에스비타워 1층 120호,https://www.instagram.com/haru.film_magok/,,464284,1127965,
27,인생네컷 서울마곡점,인생네컷,서울 강서구 마곡동 797-4 발산파크프라자,서울|강서구|마곡동|797-4|발산파크프라자,서울 강서구 공항대로 261,서울|강서구||공항대로|261|발산파크프라자,https://lifefourcuts.com/,제로페이,463889,1127705,010-2992-4588
28,인생네컷 서울NC강서점,인생네컷,서울 강서구 등촌동 689,서울|강서구|등촌동|689|,서울 강서구 강서로56길 17,서울|강서구||강서로56길|17|,https://lifefourcuts.com,,464768,1127920,02-6339-1115
29,포토이즘박스 발산역점,포토이즘박스,서울 강서구 마곡동 797-12 105호,서울|강서구|마곡동|797-12|105호,서울 강서구 마곡동로4길 23,서울|강서구||마곡동로4길|23|105호,http://photoism.co.kr,,463815,1127860,
30,포토이즘박스 망원점,포토이즘박스,서울 마포구 망원동 400-18,서울|마포구|망원동|400-18|,서울 마포구 포은로 88,서울|마포구||포은로|88|,http://photoism.co.kr,,479100,1126500,
31,포토이즘박스 원종점,포토이즘박스,경기 부천시 원종동 221-13,경기|부천시|원종동|221-13|,경기 부천시 원종로 33,경기|부천시||원종로|33|,http://photoism.co.kr,,456641,1118021,
32,인생네컷 망리단길점,인생네컷,서울 마포구 망원동 415-30,서울|마포구|망원동|415-30|,서울 마포구 포은로 109-1,서울|마포구||포은로|109-1|,https://lifefourcuts.com/,제로페이,478897,1127026,010-8772-8872
33,1퍼센트 영등포점,1퍼센트,서울 영등포구 영등포동3가 13-12 1층,서울|영등포구|영등포동3가|13-12|1층,서울 영등포구 영등포로50길 9,서울|영등포구||영등포로50길|9|1층,,,479980,1116287,010-5629-1330
34,문래포토,문래포토,서울 영등포구 문래동2가 43-2,서울|영등포구|문래동2가|43-2|,서울 영등포구 도림로125가길 11,서울|영등포구||도림로125가길|11|,,,476589,1115013,
35,포토하임,포토하임,서울 영등포구 영등포동3가 21,서울|영등포구|영등포동3가|21|,서울 영등포구 영중로4길 13-2,서울|영등포구||영중로4길|13-2|,,,479663,1116114,
36,흑백사장 더필름 우장산점,흑백사장,서울 강서구 내발산동 722-15 1층,서울|강서구|내발산동|722-15|1층,서울 강서구 강서로45길 28,서울|강서구||강서로45길|28|1층,,,463455,1124633,
37,인생네컷 합정점,인생네컷,서울 마포구 합정동 413-19 제이하우트 1층,서울|마포구|합정동|413-19|제이하우트 1층,서울 마포구 양화로6길 30,서울|마포구||양화로6길|30|제이하우트 1층,https://lifefourcuts.com/,,481400,1124839,1833-7970
38,인생네컷 합정천사곱창로드점,인생네컷,서울 마포구 서교동 400-11,서울|마포구|서교동|400-11|,서울 마포구 양화로6길 79,서울|마포구||양화로6길|79|,https://lifefourcuts.com/,,482036,1124738,
39,하루필름 망원점,하루필름,서울 마포구 망원동 399-36 1층,서울|마포구|망원동|399-36|1층,서울 마포구 포은로 87,서울|마포구||포은로|87|1층,http://harufilm.com,,479035,1126480,
40,포토이즘박스 여의도점,포토이즘박스,서울 영등포구 여의도동 21-3 1층 109호,서울|영등포구|여의도동|21-3|1층 109호,서울 영등포구 여의나루로 117,서울|영등포구||여의나루로|117|1층 109호,http://photoism.co.kr,,484770,1118545,
41,인싸포토 발산점,인싸포토,서울 강서구 내발산동 678-11 1층,서울|강서구|내발산동|678-11|1층,서울 강서구 공항대로36길 129,서울|강서구||공항대로36길|129|1층,https://www.inssaphoto.co.kr/,,463719,1125935,1566-0426
42,인생네컷 부천역곡점,인생네컷,경기 부천시 역곡동 80-4 1층,경기|부천시|역곡동|80-4|1층,경기 부천시 부일로 734,경기|부천시||부일로|734|1층,https://lifefourcuts.com,제로페이,458253,1107293,010-2680-4490
43,하루필름 합정점,하루필름,서울 마포구 서교동 396-32 1층 102호,서울|마포구|서교동|396-32|1층 102호,서울 마포구 양화로6길 45,서울|마포구||양화로6길|45|1층 102호,http://harufilm.com,,481620,1124848,
44,하루필름 홍대점,하루필름,서울 마포구 서교동 366-19 1층 4호,서울|마포구|서교동|366-19|1층 4호,서울 마포구 어울마당로 75,서울|마포구||어울마당로|75|1층 4호,https://instagram.com/haru.film_hd,,482617,1125658,010-6763-4348
45,포토이즘컬러드 망원점,포토이즘컬러드,서울 마포구 망원동 404-25 1층,서울|마포구|망원동|404-25|1층,서울 마포구 포은로 95,서울|마포구||포은로|95|1층,http://photoism.co.kr/,,478990,1126675,
46,포토하임 구로점,포토하임,서울 구로구 구로동 1124 1층,서울|구로구|구로동|1124|1층,서울 구로구 디지털로32나길 19,서울|구로구||디지털로32나길|19|1층,,,477984,1106860,
47,포토스트리트,포토스트리트,서울 강서구 등촌동 628-9,서울|강서구|등촌동|628-9|,서울 강서구 화곡로 416,서울|강서구||화곡로|416|,,,468072,1127951,
48,인생네컷 홍대동교점,인생네컷,서울 마포구 동교동 162-14,서울|마포구|동교동|162-14|,서울 마포구 홍익로6길 21,서울|마포구||홍익로6길|21|,https://lifefourcuts.com/,,482968,1126665,010-3920-4684
49,포토이즘박스 상수점,포토이즘박스,서울 마포구 서교동 408-7 1층,서울|마포구|서교동|408-7|1층,서울 마포구 어울마당로 58,서울|마포구||어울마당로|58|1층,http://photoism.co.kr,,482604,1125160,
50,인생네컷 서울마곡나루점,인생네컷,서울 강서구 마곡동 760-2 마곡나루역캐슬파크,서울|강서구|마곡동|760-2|마곡나루역캐슬파크,서울 강서구 마곡중앙로 161-1,서울|강서구||마곡중앙로|161-1|마곡나루역캐슬파크,https://lifefourcuts.com/,제로페이,461891,1130126,010-3920-4684
51,하루필름 연남점,하루필름,서울 마포구 연남동 227-8 1층,서울|마포구|연남동|227-8|1층,서울 마포구 동교로46길 40,서울|마포구||동교로46길|40|1층,http://harufilm.com/,,483815,1128513,
52,인생네컷 홍대입구점,인생네컷,서울 마포구 동교동 165-8 LG팰리스빌딩 107호,서울|마포구|동교동|165-8|LG팰리스빌딩 107호,서울 마포구 양화로 156,서울|마포구||양화로|156|LG팰리스빌딩 107호,https://lifefourcuts.com,제로페이,483102,1126838,010-5517-7131
53,포토시그니처 홍대1호점,포토시그니처,서울 마포구 서교동 358-57,서울|마포구|서교동|358-57|,서울 마포구 어울마당로 86,서울|마포구||어울마당로|86|,https://www.instagram.com/photosignature_hongdae/,제로페이,482735,1125888,
54,포토이즘박스 홍대어울림점,포토이즘박스,서울 마포구 서교동 364-23 1층,서울|마포구|서교동|364-23|1층,서울 마포구 어울마당로 80,서울|마포구||어울마당로|80|1층,http://photoism.co.kr,,482698,1125739,
55,하루필름 신림점,하루필름,서울 관악구 신림동 1640-30 1층,서울|관악구|신림동|1640-30|1층,서울 관악구 남부순환로176길 11,서울|관악구||남부순환로176길|11|1층,http://harufilm.com,,484205,1106675,
56,포토이즘박스 홍대역점,포토이즘박스,서울 마포구 동교동 169-14 1층,서울|마포구|동교동|169-14|1층,서울 마포구 양화로18길 15,서울|마포구||양화로18길|15|1층,http://photoism.co.kr,,483415,1126969,
57,하루필름 홍대직영1호점,하루필름,서울 마포구 동교동 164-32,서울|마포구|동교동|164-32|,서울 마포구 어울마당로 123,서울|마포구||어울마당로|123|,http://harufilm.com,,483133,1126708,
58,인생네컷 홍대어울림점,인생네컷,서울 마포구 서교동 358-1,서울|마포구|서교동|358-1|,서울 마포구 홍익로 19,서울|마포구||홍익로|19|,https://lifefourcuts.com,,482909,1126254,1833-7970
59,인생네컷 노량진점,인생네컷,서울 동작구 노량진동 92-2 1층,서울|동작구|노량진동|92-2|1층,서울 동작구 노량진로16길 22,서울|동작구||노량진로16길|22|1층,https://lifefourcuts.com/,제로페이,487560,1114780,010-4519-3189
60,포토이즘박스 마곡나루역점,포토이즘박스,서울 강서구 마곡동 760 145호,서울|강서구|마곡동|760|145호,서울 강서구 마곡중앙5로 6,서울|강서구||마곡중앙5로|6|145호,https://www.instagram.com/photoismbox_magoknaru,,461862,1129933,
61,포토이즘박스 연남점,포토이즘박스,서울 마포구 동교동 150-3 1층,서울|마포구|동교동|150-3|1층,서울 마포구 동교로 230,서울|마포구||동교로|230|1층,http://photoism.co.kr,,483312,1128023,
62,포토이즘박스 레치키치점,포토이즘박스,서울 마포구 동교동 176-13 지하,서울|마포구|동교동|176-13|지하,서울 마포구 신촌로2안길 2,서울|마포구||신촌로2안길|2|지하,http://photoism.co.kr,,483948,1127240,
63,인생네컷 신촌연세대점,인생네컷,서울 서대문구 창천동 5-46 1층,서울|서대문구|창천동|5-46|1층,서울 서대문구 명물길 46,서울|서대문구||명물길|46|1층,https://lifefourcuts.com/,제로페이,486545,1127507,1833-7970
64,포토이즘박스 신림점,포토이즘박스,서울 관악구 신림동 1640-40,서울|관악구|신림동|1640-40|,서울 관악구 신림로59길 10,서울|관악구||신림로59길|10|,http://photoism.co.kr,,484339,1106581,
65,인생네컷 부천옥길점,인생네컷,경기 부천시 옥길동 745-1 문영퀸즈파크A 1층 102호,경기|부천시|옥길동|745-1|문영퀸즈파크A 1층 102호,경기 부천시 옥길로 116,경기|부천시||옥길로|116|문영퀸즈파크A 1층 102호,https://lifefourcuts.com,제로페이,460776,1102130,010-8505-2525
66,포토이즘박스 노량진점,포토이즘박스,서울 동작구 노량진동 97-1 1층,서울|동작구|노량진동|97-1|1층,서울 동작구 노량진로16길 14,서울|동작구||노량진로16길|14|1층,http://photoism.co.kr,,487533,1114865,
67,포토이즘컬러드 홍대점,포토이즘컬러드,서울 마포구 서교동 358-48,서울|마포구|서교동|358-48|,서울 마포구 와우산로21길 36,서울|마포구||와우산로21길|36|,http://photoism.co.kr/,,482768,1125825,
68,포토시그니처 신림점,포토시그니처,서울 관악구 신림동 1640-7 1층,서울|관악구|신림동|1640-7|1층,서울 관악구 남부순환로 1606,서울|관악구||남부순환로|1606|1층,http://photosignature.co.kr/,제로페이,484320,1106805,
69,하루필름 홍대직영2호점,하루필름,서울 마포구 동교동 164-13,서울|마포구|동교동|164-13|,서울 마포구 어울마당로 121,서울|마포구||어울마당로|121|,http://harufilm.com,,483117,1126686,
70,하루필름 신촌점,하루필름,서울 서대문구 창천동 13-27 1층,서울|서대문구|창천동|13-27|1층,서울 서대문구 명물길 20,서울|서대문구||명물길|20|1층,https://www.instagram.com/haru_film_sc/,,486290,1127290,
71,모노맨션,모노맨션,서울 마포구 망원동 404-39 1층,서울|마포구|망원동|404-39|1층,서울 마포구 포은로 89,서울|마포구||포은로|89|1층,https://instagram.com/mono.mansion?igshid=YmMyMTA2M2Y=,,479034,1126530,010-5647-7090
72,포토시그니처 홍대2호점,포토시그니처,서울 마포구 서교동 345-30,서울|마포구|서교동|345-30|,서울 마포구 홍익로 20,서울|마포구||홍익로|20|,http://photosignature.co.kr,,482950,1126357,
73,인생네컷 부천신중동점,인생네컷,경기 부천시 중동 1130 삼익프라자 1층 101호,경기|부천시|중동|1130|삼익프라자 1층 101호,경기 부천시 조마루로291번길 38,경기|부천시||조마루로291번길|38|삼익프라자 1층 101호,https://lifefourcuts.com,제로페이,450454,1111078,010-8338-8314
74,인생네컷 부천심곡로드점,인생네컷,경기 부천시 심곡동 176-10 1층,경기|부천시|심곡동|176-10|1층,경기 부천시 부일로 463,경기|부천시||부일로|463|1층,https://www.instagram.com/life4cut/,,451727,1107516,010-5011-0906
75,포토이즘박스 신촌점,포토이즘박스,서울 서대문구 창천동 13-16,서울|서대문구|창천동|13-16|,서울 서대문구 명물길 26,서울|서대문구||명물길|26|,http://photoism.co.kr,,486365,1127327,
76,포토시그니처 서울연남점,포토시그니처,서울 마포구 동교동 147,서울|마포구|동교동|147|,서울 마포구 양화로 191,서울|마포구||양화로|191|,http://photosignature.co.kr,제로페이,483602,1127548,
77,인생네컷 서울보라매로드점,인생네컷,서울 관악구 봉천동 702-102,서울|관악구|봉천동|702-102|,서울 관악구 보라매로 17,서울|관악구||보라매로|17|,https://lifefourcuts.com,,483844,1108777,010-3392-1072
78,포토이즘박스 시흥사거리점,포토이즘박스,서울 금천구 시흥동 891 1층,서울|금천구|시흥동|891|1층,서울 금천구 시흥대로52길 24,서울|금천구||시흥대로52길|24|1층,http://photoism.co.kr,,478427,1098056,
79,하루필름 부천점,하루필름,경기 부천시 심곡동 174-6 1층,경기|부천시|심곡동|174-6|1층,경기 부천시 부천로9번길 29,경기|부천시||부천로9번길|29|1층,https://www.instagram.com/haru_film_bc,,451647,1107251,070-8064-7049
80,인생네컷 신촌연대점,인생네컷,서울 서대문구 창천동 33-19,서울|서대문구|창천동|33-19|,서울 서대문구 연세로 29-1,서울|서대문구||연세로|29-1|,https://lifefourcuts.com,,486028,1127451,1833-7970
81,하루필름 연트럴파크점,하루필름,서울 마포구 동교동 148-10 1층,서울|마포구|동교동|148-10|1층,서울 마포구 양화로23길 30,서울|마포구||양화로23길|30|1층,http://harufilm.com,,483432,1127839,
82,포토하임 여의도CGV점,포토하임,서울 영등포구 여의도동 23 IFC몰 지하 3층,서울|영등포구|여의도동|23|IFC몰 지하 3층,서울 영등포구 국제금융로 10,서울|영등포구||국제금융로|10|IFC몰 지하 3층,,,483399,1118253,010-2846-0413
83,RGB포토스튜디오 합정점,RGB포토스튜디오,서울 마포구 합정동 366-8 1층,서울|마포구|합정동|366-8|1층,서울 마포구 독막로2길 27,서울|마포구||독막로2길|27|1층,http://rgbphotostudio.com,,481143,1124398,070-8778-0000
84,인생네컷 광명소하점,인생네컷,경기 광명시 소하동 1335,경기|광명시|소하동|1335|,경기 광명시 금하로 464,경기|광명시||금하로|464|,https://lifefourcuts.com,제로페이,474348,1096974,010-8359-0920
85,포토이즘박스 신중동점,포토이즘박스,경기 부천시 중동 1133-12 대성빌딩 104호,경기|부천시|중동|1133-12|대성빌딩 104호,경기 부천시 조마루로291번길 56,경기|부천시||조마루로291번길|56|대성빌딩 104호,https://www.instagram.com/photoismbox_sinjungdong/,,450398,1111335,
86,포토이즘컬러드 연남점,포토이즘컬러드,서울 마포구 동교동 113-20 1층,서울|마포구|동교동|113-20|1층,서울 마포구 연희로1길 46,서울|마포구||연희로1길|46|1층,http://photoism.co.kr/,,483654,1128158,
87,포토이즘박스 부천역점,포토이즘박스,경기 부천시 심곡동 175-16 1층,경기|부천시|심곡동|175-16|1층,경기 부천시 부일로460번길 5,경기|부천시||부일로460번길|5|1층,http://photoism.co.kr,,451655,1107356,
88,포토이즘컬러드 신촌점,포토이즘컬러드,서울 서대문구 창천동 31-45 1층 103호,서울|서대문구|창천동|31-45|1층 103호,서울 서대문구 연세로 19,서울|서대문구||연세로|19|1층 103호,http://photoism.co.kr/,,486025,1127190,
89,인생네컷 경기부천점,인생네컷,경기 부천시 심곡동 179-3 센텀시티 1층 107호,경기|부천시|심곡동|179-3|센텀시티 1층 107호,경기 부천시 부일로459번길 20,경기|부천시||부일로459번길|20|센텀시티 1층 107호,https://lifefourcuts.com,제로페이,451731,1107735,010-9488-6459
90,포토이즘박스 샤로수길점,포토이즘박스,서울 관악구 봉천동 1610-3,서울|관악구|봉천동|1610-3|,서울 관악구 관악로14길 50,서울|관악구||관악로14길|50|,http://photoism.co.kr,,490108,1105315,
91,포토이즘컬러드 부천역점,포토이즘컬러드,경기 부천시 심곡동 383-1 시네마존 1층,경기|부천시|심곡동|383-1|시네마존 1층,경기 부천시 부일로 460,경기|부천시||부일로|460|시네마존 1층,http://photoism.co.kr,,451580,1107395,
92,시현하다프레임 오리지널레드점,시현하다프레임,서울 마포구 상수동 318-5,서울|마포구|상수동|318-5|,서울 마포구 독막로 61,서울|마포구||독막로|61|,https://www.instagram.com/sihyunhada_frame/,,482413,1124588,010-6844-9096
93,RGB포토스튜디오 홍대입구역점,RGB포토스튜디오,서울 마포구 서교동 334-14 지하1층,서울|마포구|서교동|334-14|지하1층,서울 마포구 와우산로27길 28,서울|마포구||와우산로27길|28|지하1층,https://rgbphotostudio.com,,483865,1126385,070-8778-0000
94,포토이즘박스 고양향동점,포토이즘박스,경기 고양시 덕양구 향동동 560 MJ프라자 B02호,경기|고양시 덕양구|향동동|560|MJ프라자 B02호,경기 고양시 덕양구 향기로 70,경기|고양시 덕양구||향기로|70|MJ프라자 B02호,http://photoism.co.kr/,,476394,1137850,
95,홍대네컷 홍대거리점,홍대네컷,서울 마포구 서교동 411-15 1층,서울|마포구|서교동|411-15|1층,,,,,482468,1124730,
96,인싸포토 노량진점,인싸포토,서울 동작구 노량진동 91-1 1층,서울|동작구|노량진동|91-1|1층,서울 동작구 노량진로16길 21,서울|동작구||노량진로16길|21|1층,https://www.inssaphoto.co.kr/,,487605,1114773,
97,픽닷 마곡점,픽닷,서울 강서구 마곡동 797-4 1층 119호,서울|강서구|마곡동|797-4|1층 119호,서울 강서구 공항대로 261,서울|강서구||공항대로|261|1층 119호,,,463889,1127705,
98,포토시그니처 서울샤로수길점,포토시그니처,서울 관악구 봉천동 1604-22,서울|관악구|봉천동|1604-22|,서울 관악구 관악로14길 38,서울|관악구||관악로14길|38|,http://photosignature.co.kr/,,489975,1105366,
99,하루필름,하루필름,경기 부천시 중동 1167-3 파크리움 1층 105호,경기|부천시|중동|1167-3|파크리움 1층 105호,경기 부천시 석천로169번길 34,경기|부천시||석천로169번길|34|파크리움 1층 105호,http://harufilm.com/,,447150,1112180,
100,포토 슬레이트,포토,서울 마포구 서교동 408-8,서울|마포구|서교동|408-8|,서울 마포구 어울마당로 56,서울|마포구||어울마당로|56|,,,482601,1125128,
101,포토이즘박스 용리단길점,포토이즘박스,서울 용산구 한강로1가 224-5,서울|용산구|한강로1가|224-5|,서울 용산구 한강대로52길 31,서울|용산구||한강대로52길|31|,http://photoism.co.kr,,493988,1120058,
102,스티카 연남점,스티카,서울 마포구 연남동 224-60 1층,서울|마포구|연남동|224-60|1층,서울 마포구 성미산로 189-5,서울|마포구||성미산로|189-5|1층,https://www.instagram.com/sticka_photo,,483770,1128800,010-7914-8479
103,인생네컷 서울숙명여대점,인생네컷,서울 용산구 청파동3가 24-86 1층,서울|용산구|청파동3가|24-86|1층,서울 용산구 청파로45길 24,서울|용산구||청파로45길|24|1층,https://instagram.com/life4cut_sookmyung,,493217,1123612,010-2854-3361
104,포토시그니처 부천중동점,포토시그니처,경기 부천시 중동 1166-4,경기|부천시|중동|1166-4|,경기 부천시 석천로183번길 35,경기|부천시||석천로183번길|35|,http://photosignature.co.kr,경기지역화폐,447192,1112415,
105,포토이즘박스 송내로데오점,포토이즘박스,경기 부천시 상동 404-2 1층 103호,경기|부천시|상동|404-2|1층 103호,경기 부천시 상일로94번길 21,경기|부천시||상일로94번길|21|1층 103호,http://photoism.co.kr,,445345,1108730,
106,인생네컷 서울이수점,인생네컷,서울 동작구 사당동 130-20 1층,서울|동작구|사당동|130-20|1층,서울 동작구 동작대로27길 28,서울|동작구||동작대로27길|28|1층,https://www.instagram.com/life4cut_isu/,,495673,1107825,010-9489-5655
107,인생네컷 시흥은계점,인생네컷,경기 시흥시 은행동 644 시흥은계호반써밋플레이스 상가동 1층 160호,경기|시흥시|은행동|644|시흥은계호반써밋플레이스 상가동 1층 160호,경기 시흥시 은계남로 12,경기|시흥시||은계남로|12|시흥은계호반써밋플레이스 상가동 1층 160호,https://lifefourcuts.com/,제로페이,456336,1093581,010-5057-1632
108,플레이인 더박스 신림역점,플레이인,서울 관악구 신림동 1641-19 1층,서울|관악구|신림동|1641-19|1층,서울 관악구 신림로 312,서울|관악구||신림로|312|1층,,,484555,1106324,0507-1325-1315
109,라이프포토,라이프포토,서울 마포구 서교동 366-12,서울|마포구|서교동|366-12|,서울 마포구 어울마당로 79-1,서울|마포구||어울마당로|79-1|,,,482657,1125770,
110,오아카이브스튜디오,오아카이브스튜디오,서울 마포구 성산동 19-5 3층,서울|마포구|성산동|19-5|3층,서울 마포구 성미산로 24,서울|마포구||성미산로|24|3층,https://instagram.com/oharchive_studio,,480333,1127490,
111,포토이즘박스 시흥은계점,포토이즘박스,경기 시흥시 은행동 646-8 1층,경기|시흥시|은행동|646-8|1층,경기 시흥시 은계번영길 19,경기|시흥시||은계번영길|19|1층,http://photoism.co.kr,,456423,1093898,
112,포토랩플러스 연남점,포토랩플러스,서울 마포구 연남동 383-37,서울|마포구|연남동|383-37|,서울 마포구 동교로38길 41,서울|마포구||동교로38길|41|,,,483628,1128228,
113,인생네컷 시흥대야점,인생네컷,경기 시흥시 대야동 544 트윈프라자 1층 5호,경기|시흥시|대야동|544|트윈프라자 1층 5호,경기 시흥시 비둘기공원7길 39,경기|시흥시||비둘기공원7길|39|트윈프라자 1층 5호,https://lifefourcuts.com,,454081,1095372,010-3264-8901
114,포토이즘박스 이수점,포토이즘박스,서울 동작구 사당동 145-26 1층,서울|동작구|사당동|145-26|1층,서울 동작구 동작대로25길 11,서울|동작구||동작대로25길|11|1층,http://photoism.co.kr,,495880,1107460,
